Pair	Dist	Mean
AA	1	2.13123645998558
AA	2	-0.761218932442465
AA	3	-1.35571385384615
AA	4	-2.38247795511222
AA	5	-0.115932597040905
AA	6	-0.032972403156917
AA	7	-0.020032837229029
AA	8	-0.004701567043568
AA	9	-1.11681146341463E-06
AA	10	0
AC	1	1.92628165069223
AC	2	-0.825425400842266
AC	3	-1.61856827073552
AC	4	-2.64661844345359
AC	5	-0.135136209684393
AC	6	-0.040287631948424
AC	7	-0.029373353297509
AC	8	-0.00677718486835
AC	9	-1.72748652882935E-06
AC	10	0
AF	1	1.7321232002851
AF	2	-0.886871102276969
AF	3	-1.8214474229249
AF	4	-3.09605246109746
AF	5	-0.167555699261191
AF	6	-0.05607199481281
AF	7	-0.067208214495593
AF	8	-0.01580337957754
AF	9	-0.000741686148653
AF	10	-0.000280411141561
AG	1	2.36863808944544
AG	2	-0.724328667665792
AG	3	-1.17937856976292
AG	4	-2.24229037099494
AG	5	-0.107239231902904
AG	6	-0.029220256124825
AG	7	-0.016204361021898
AG	8	-0.004025530133259
AG	9	-5.60628190096756E-07
AG	10	0
AI	1	1.7626554532872
AI	2	-0.849301000750188
AI	3	-1.7675905527043
AI	4	-2.55293411004585
AI	5	-0.142750826460481
AI	6	-0.044240670227273
AI	7	-0.038385753995037
AI	8	-0.007618471995874
AI	9	-5.99252326836322E-05
AI	10	0
AL	1	1.90767931762223
AL	2	-0.835318137136381
AL	3	-1.70243407610828
AL	4	-2.69302005166932
AL	5	-0.136483845768881
AL	6	-0.042715905664585
AL	7	-0.035885863827655
AL	8	-0.007233652784607
AL	9	-4.19724838936535E-05
AL	10	0
AM	1	1.79818537181303
AM	2	-0.862130134500745
AM	3	-1.66485402203857
AM	4	-2.54315938429752
AM	5	-0.144739647084806
AM	6	-0.047537219052002
AM	7	-0.04340641434263
AM	8	-0.008828856452282
AM	9	-0.000139997134232
AM	10	-1.92959666866747E-07
AS	1	2.30734514446794
AS	2	-0.817043788928571
AS	3	-5.25888084014002
AS	4	-2.4603443902439
AS	5	-0.12209628061674
AS	6	-0.036333463250715
AS	7	-0.022787984395062
AS	8	-0.005118494757333
AS	9	-1.20832093139989E-06
AS	10	0
AT	1	1.92286542130919
AT	2	-0.808487593598809
AT	3	-1.76325235915493
AT	4	-2.45738984836066
AT	5	-0.128288887942054
AT	6	-0.037441280009519
AT	7	-0.025706316077829
AT	8	-0.005306004991896
AT	9	-3.49982142517401E-05
AT	10	0
AV	1	1.82342433225922
AV	2	-0.823259917149059
AV	3	-1.57760486249502
AV	4	-1.95424661995054
AV	5	-0.133082147163121
AV	6	-0.038797663652968
AV	7	-0.027383174317492
AV	8	-0.0058176445953
AV	9	-5.31132496106785E-06
AV	10	0
AW	1	1.68540844098749
AW	2	-0.900916833816075
AW	3	-2.14907210428994
AW	4	-3.5355634596577
AW	5	-0.178419479475243
AW	6	-0.069985035841313
AW	7	-0.110703987159905
AW	8	-0.021596698543247
AW	9	-0.001150319185091
AW	10	-0.000951343402641
AY	1	1.70911687105816
AY	2	-0.884080046374678
AY	3	-1.92747519794141
AY	4	-3.0996021233739
AY	5	-0.170312926649306
AY	6	-0.057830776686554
AY	7	-0.070822990699951
AY	8	-0.019062843854982
AY	9	-0.00088290926886
AY	10	-0.000259596204829
CC	1	1.69567676077266
CC	2	-0.895284836166924
CC	3	-1.92286238496933
CC	4	-2.95623296387521
CC	5	-0.156636781222321
CC	6	-0.047677446875
CC	7	-0.040841946775844
CC	8	-0.008824004873208
CC	9	-2.3650640954495E-06
CC	10	0
CF	1	1.45081876695218
CF	2	-0.961304955334072
CF	3	-2.2493485495884
CF	4	-3.55243108096651
CF	5	-0.189601580948313
CF	6	-0.066102787173817
CF	7	-0.087258333333333
CF	8	-0.018065547739938
CF	9	-0.000713397743076
CF	10	-0.000305345754334
CG	1	2.20227526664343
CG	2	-0.785992673544584
CG	3	-1.4321180218494
CG	4	-2.46292032191498
CG	5	-0.125890506470326
CG	6	-0.035920275841674
CG	7	-0.024876131618011
CG	8	-0.006019099800734
CG	9	-1.20467336842105E-06
CG	10	0
CI	1	1.50461711558132
CI	2	-0.920928470113678
CI	3	-2.11427470229008
CI	4	-3.04666703855619
CI	5	-0.164655644663523
CI	6	-0.052656940416667
CI	7	-0.051646072148801
CI	8	-0.009942747973456
CI	9	-5.91877760433295E-05
CI	10	0
CL	1	1.67058478141136
CL	2	-0.905857177679882
CL	3	-2.07281441518203
CL	4	-3.03653420343137
CL	5	-0.156936698551996
CL	6	-0.050703765932048
CL	7	-0.048875416323529
CL	8	-0.009239925276008
CL	9	-4.48290193202247E-05
CL	10	0
CM	1	1.52285944556846
CM	2	-0.934868681049982
CM	3	-2.29239235406333
CM	4	-2.91662703598868
CM	5	-0.166419853517364
CM	6	-0.056115025542725
CM	7	-0.057781184954865
CM	8	-0.01094701671459
CM	9	-0.000136912031505
CM	10	-1.87604000621118E-07
CS	1	2.04248383758534
CS	2	-0.885072506108849
CS	3	-5.55327424583172
CS	4	-2.75020974369927
CS	5	-0.142508859626249
CS	6	-0.043653131032864
CS	7	-0.03290280304968
CS	8	-0.007168080499734
CS	9	-1.81562006956522E-06
CS	10	0
CT	1	1.69355272310406
CT	2	-0.876613879290397
CT	3	-2.12613870980392
CT	4	-2.88370687367078
CT	5	-0.14935697588286
CT	6	-0.0452276776
CT	7	-0.037425853194651
CT	8	-0.007552068815013
CT	9	-3.55438941916168E-05
CT	10	0
CV	1	1.58174138160196
CV	2	-0.893023937219731
CV	3	-1.88847467741935
CV	4	-2.42422137775961
CV	5	-0.154606172763332
CV	6	-0.046488433349101
CV	7	-0.040092563938492
CV	8	-0.008172020692149
CV	9	-5.98282364108482E-06
CV	10	0
CW	1	1.34127668935428
CW	2	-0.976682928367783
CW	3	-2.80737571761055
CW	4	-4.18347582770941
CW	5	-0.200732616602482
CW	6	-0.078903807251732
CW	7	-0.138502428738865
CW	8	-0.025005548446237
CW	9	-0.001160879761165
CW	10	-0.000911036023617
CY	1	1.43891185847034
CY	2	-0.96253321071953
CY	3	-2.3619052776699
CY	4	-3.71542421615202
CY	5	-0.194279811020232
CY	6	-0.067212854189435
CY	7	-0.08948327963053
CY	8	-0.021506212819723
CY	9	-0.000873637167798
CY	10	-0.000255069695352
FF	1	1.08904032457364
FF	2	-1.03139133828996
FF	3	-2.90957302710843
FF	4	-4.03921549019608
FF	5	-0.22491205907173
FF	6	-0.084016918258427
FF	7	-0.149830264271255
FF	8	-0.030645246766667
FF	9	-0.001427663930959
FF	10	-0.000570975032413
FG	1	2.06124815129021
FG	2	-0.845452042624166
FG	3	-1.55650571318129
FG	4	-2.71613619009263
FG	5	-0.155278374395073
FG	6	-0.053396958226103
FG	7	-0.06109242250996
FG	8	-0.014370182687201
FG	9	-0.000704622418379
FG	10	-0.000278109185741
FI	1	1.2190611998624
FI	2	-0.986844588214538
FI	3	-2.5209001448737
FI	4	-3.5242140616133
FI	5	-0.199149616544593
FI	6	-0.070396438304624
FI	7	-0.102689962009346
FI	8	-0.022415226074149
FI	9	-0.000791309476518
FI	10	-0.000279442853284
FL	1	1.40890635053381
FL	2	-0.970861969992769
FL	3	-2.511023864
FL	4	-3.77634971084337
FL	5	-0.191125670688114
FL	6	-0.069303433894343
FL	7	-0.105819574086223
FL	8	-0.019300640242268
FL	9	-0.000777755396735
FL	10	-0.000276515682266
FM	1	1.16102308365828
FM	2	-1.00458411032162
FM	3	-2.7565528271028
FM	4	-3.88126356226727
FM	5	-0.200576032580365
FM	6	-0.073872917687075
FM	7	-0.119833346150167
FM	8	-0.021363178576759
FM	9	-0.000875610227001
FM	10	-0.000285321433753
FS	1	1.76346912328767
FS	2	-0.950563977495463
FS	3	-5.61779519349845
FS	4	-3.37970984878631
FS	5	-0.176178522983521
FS	6	-0.061654020417423
FS	7	-0.074340634544597
FS	8	-0.016666624337031
FS	9	-0.000720746080432
FS	10	-0.000283810171274
FT	1	1.44559448544347
FT	2	-0.941422135174954
FT	3	-2.3863510796527
FT	4	-3.33746495234148
FT	5	-0.183200754049446
FT	6	-0.062606056296642
FT	7	-0.087565409809964
FT	8	-0.018995658643006
FT	9	-0.000792328024349
FT	10	-0.000281470213185
FV	1	1.2993346408377
FV	2	-0.956014686238532
FV	3	-2.21037218009479
FV	4	-2.97320658367347
FV	5	-0.190716669454225
FV	6	-0.064808342936803
FV	7	-0.090461658882236
FV	8	-0.020076338661933
FV	9	-0.000697686154688
FV	10	-0.000289114014851
FW	1	0.989547188030619
FW	2	-1.04453958663276
FW	3	-3.33120916634799
FW	4	-4.68230132268632
FW	5	-0.237455461604462
FW	6	-0.099756170615034
FW	7	-0.296716242143906
FW	8	-0.040132761612745
FW	9	-0.001835630079782
FW	10	-0.001240021727771
FY	1	1.08067223019064
FY	2	-1.0286441237037
FY	3	-3.08697049306626
FY	4	-4.31345459602111
FY	5	-0.228638710076857
FY	6	-0.085549146532334
FY	7	-0.153891718661258
FY	8	-0.034124766328725
FY	9	-0.001536684504334
FY	10	-0.000552350888425
GG	1	2.60712376780627
GG	2	-0.687063082202112
GG	3	-1.01351430107527
GG	4	-2.11390847878303
GG	5	-0.099041426684165
GG	6	-0.025293667788899
GG	7	-0.012872987941177
GG	8	-0.00335472871308
GG	9	0
GG	10	0
GI	1	2.04238324116206
GI	2	-0.807242756817333
GI	3	-1.54722779773526
GI	4	-2.32971081092095
GI	5	-0.132797253472222
GI	6	-0.04053404993033
GI	7	-0.031838801457018
GI	8	-0.0069102425
GI	9	-5.76827052572707E-05
GI	10	0
GL	1	2.18103220921986
GL	2	-0.79526123281756
GL	3	-1.47755317564948
GL	4	-2.49099488381743
GL	5	-0.127486309757137
GL	6	-0.037972079273405
GL	7	-0.030400092576205
GL	8	-0.006492797805394
GL	9	-4.31840505011933E-05
GL	10	0
GM	1	2.12891370188943
GM	2	-0.820839696056548
GM	3	-1.42056152890958
GM	4	-2.31517297195479
GM	5	-0.134650362098139
GM	6	-0.043620989203206
GM	7	-0.036536128283845
GM	8	-0.007871014638522
GM	9	-0.000127844939329
GM	10	-1.90142255266419E-07
GS	1	2.56075610719323
GS	2	-0.7801455513573
GS	3	-5.08633157531621
GS	4	-2.31003734126984
GS	5	-0.112877380910683
